Arrivals,Min,Max,Modal,Year,Month,Day,DayOfWeek,Variety_TUR DAL,Grade_AVERAGE,Market_BENGALURU,Market_MYSURU,Market_SHIVAMOGGA
0.4648082112530267,9800.0,11800.0,10800.0,2021.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0
0.6539629852474217,9800.0,11800.0,10800.0,2021.0,3.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.1260663550363955,9800.0,11800.0,10800.0,2021.0,3.0,10.0,2.0,1.0,1.0,1.0,0.0,0.0
1.2869759912880705,9800.0,11800.0,10800.0,2021.0,3.0,12.0,4.0,1.0,1.0,1.0,0.0,0.0
3.262800610734474,9800.0,11800.0,10800.0,2021.0,3.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0
0.6848645077316545,9800.0,11800.0,10800.0,2021.0,3.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0
0.4816635871535173,9800.0,11800.0,10800.0,2021.0,3.0,17.0,2.0,1.0,1.0,1.0,0.0,0.0
0.8918110673987898,9800.0,11800.0,10800.0,2021.0,3.0,18.0,3.0,1.0,1.0,1.0,0.0,0.0
1.23360063426985,9800.0,11800.0,10800.0,2021.0,3.0,19.0,4.0,1.0,1.0,1.0,0.0,0.0
1.0397638114142076,9800.0,11800.0,10800.0,2021.0,3.0,20.0,5.0,1.0,1.0,1.0,0.0,0.0
3.421990272016886,9800.0,11800.0,10800.0,2021.0,3.0,22.0,0.0,1.0,1.0,1.0,0.0,0.0
1.833839298281767,9800.0,11800.0,10800.0,2021.0,3.0,23.0,1.0,1.0,1.0,1.0,0.0,0.0
0.303745730426116,9800.0,11800.0,10800.0,2021.0,3.0,24.0,2.0,1.0,1.0,1.0,0.0,0.0
0.6577086243364196,9800.0,11800.0,10800.0,2021.0,3.0,25.0,3.0,1.0,1.0,1.0,0.0,0.0
-0.06613612961242873,9800.0,11800.0,10800.0,2021.0,3.0,26.0,4.0,1.0,1.0,1.0,0.0,0.0
2.15315503061884,9800.0,11800.0,10800.0,2021.0,3.0,29.0,0.0,1.0,1.0,1.0,0.0,0.0
1.742071140601318,9800.0,11800.0,10800.0,2021.0,3.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0
0.4957097337372595,9800.0,11800.0,10800.0,2021.0,3.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0
-0.23094424952833728,9800.0,11800.0,10800.0,2021.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0
2.205593977864811,9800.0,11800.0,10800.0,2021.0,4.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0
2.745902416452761,9200.0,11000.0,10100.0,2021.0,4.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0
1.453656930748478,9200.0,11000.0,10100.0,2021.0,4.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0
1.2532652394870891,9000.0,10800.0,10100.0,2021.0,4.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0
0.9835792250792388,9000.0,10800.0,10100.0,2021.0,4.0,9.0,4.0,1.0,1.0,1.0,0.0,0.0
3.2056796146272557,9000.0,10800.0,10100.0,2021.0,4.0,16.0,4.0,1.0,1.0,1.0,0.0,0.0
1.5725809718241621,9000.0,11000.0,10000.0,2021.0,4.0,17.0,5.0,1.0,1.0,1.0,0.0,0.0
2.0782422488388814,9800.0,11000.0,10000.0,2021.0,4.0,19.0,0.0,1.0,1.0,1.0,0.0,0.0
2.9163289950021665,9800.0,11000.0,10000.0,2021.0,4.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0
1.284166761971322,9800.0,11000.0,10000.0,2021.0,4.0,21.0,2.0,1.0,1.0,1.0,0.0,0.0
2.570793789042108,9800.0,11000.0,10000.0,2021.0,4.0,22.0,3.0,1.0,1.0,1.0,0.0,0.0
1.5501071372901745,9800.0,11000.0,10000.0,2021.0,4.0,23.0,4.0,1.0,1.0,1.0,0.0,0.0
2.0726237902053843,9600.0,10800.0,10200.0,2021.0,4.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0
0.8459269885585652,9600.0,10800.0,10200.0,2021.0,4.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0
0.4882184555592637,9600.0,10800.0,10200.0,2021.0,4.0,28.0,2.0,1.0,1.0,1.0,0.0,0.0
-0.36204161764326453,9600.0,10800.0,10200.0,2021.0,4.0,29.0,3.0,1.0,1.0,1.0,0.0,0.0
0.17077554276668983,9600.0,10800.0,10200.0,2021.0,4.0,30.0,4.0,1.0,1.0,1.0,0.0,0.0
2.428459503660187,9600.0,10800.0,10200.0,2021.0,5.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0
0.36554877539458175,9600.0,10800.0,10200.0,2021.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
0.04997868214650684,9600.0,10800.0,10200.0,2021.0,5.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0
-0.17569607296561796,9600.0,10800.0,10200.0,2021.0,5.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0
0.3861497903840703,9600.0,10800.0,10200.0,2021.0,5.0,7.0,4.0,1.0,1.0,1.0,0.0,0.0
1.0294633039194634,9600.0,10800.0,10200.0,2021.0,5.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0
0.04904227237425736,9600.0,10800.0,10200.0,2021.0,5.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0
0.5153743389544986,9600.0,10800.0,10200.0,2021.0,5.0,12.0,2.0,1.0,1.0,1.0,0.0,0.0
1.2476467808535923,9600.0,10800.0,10200.0,2021.0,5.0,13.0,3.0,1.0,1.0,1.0,0.0,0.0
1.9733643543469397,9600.0,10800.0,10200.0,2021.0,5.0,15.0,5.0,1.0,1.0,1.0,0.0,0.0
2.2355590905767944,9600.0,10800.0,10200.0,2021.0,5.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0
2.0819878879278795,9600.0,10800.0,10200.0,2021.0,5.0,18.0,1.0,1.0,1.0,1.0,0.0,0.0
1.7430075503735674,9600.0,10800.0,10200.0,2021.0,5.0,19.0,2.0,1.0,1.0,1.0,0.0,0.0
0.8655915937758043,9600.0,10800.0,10200.0,2021.0,5.0,20.0,3.0,1.0,1.0,1.0,0.0,0.0
0.44982565489703497,9600.0,10800.0,10200.0,2021.0,5.0,21.0,4.0,1.0,1.0,1.0,0.0,0.0
1.0678561045816921,9600.0,10800.0,10200.0,2021.0,5.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0
-0.3067934410805452,9600.0,10800.0,10200.0,2021.0,5.0,25.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.3124118997140421,9600.0,10800.0,10200.0,2021.0,5.0,26.0,2.0,1.0,1.0,1.0,0.0,0.0
-0.23188065930058677,9600.0,10800.0,10200.0,2021.0,5.0,27.0,3.0,1.0,1.0,1.0,0.0,0.0
-0.17569607296561796,9600.0,10800.0,10200.0,2021.0,5.0,28.0,4.0,1.0,1.0,1.0,0.0,0.0
0.22321449001266072,9600.0,10800.0,10200.0,2021.0,5.0,29.0,5.0,1.0,1.0,1.0,0.0,0.0
0.5584491884779748,9600.0,10800.0,10200.0,2021.0,5.0,31.0,0.0,1.0,1.0,1.0,0.0,0.0
1.262629337209584,9600.0,10800.0,10200.0,2021.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.14923811800495176,9600.0,10800.0,10200.0,2021.0,6.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
0.8122162367575839,9600.0,10800.0,10200.0,2021.0,6.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0
0.6745640002369103,7200.0,10800.0,9000.0,2021.0,6.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0
0.40768721514580836,7200.0,10800.0,9000.0,2021.0,6.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0
1.459275389381975,7200.0,10800.0,9000.0,2021.0,6.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0
0.8440541690140663,7200.0,10800.0,9000.0,2021.0,6.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0
0.2428790952298998,7200.0,10800.0,9000.0,2021.0,6.0,9.0,2.0,1.0,1.0,1.0,0.0,0.0
2.021121252731663,7200.0,10800.0,9000.0,2021.0,6.0,10.0,3.0,1.0,1.0,1.0,0.0,0.0
2.2851888085060166,8500.0,10900.0,9700.0,2021.0,6.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0
1.1128037736496672,8500.0,10900.0,9700.0,2021.0,6.0,16.0,2.0,1.0,1.0,1.0,0.0,0.0
0.6474081168416753,8500.0,10900.0,9700.0,2021.0,6.0,17.0,3.0,1.0,1.0,1.0,0.0,0.0
0.47323589920327197,8500.0,10900.0,9700.0,2021.0,6.0,18.0,4.0,1.0,1.0,1.0,0.0,0.0
0.8468633983308147,8500.0,10900.0,9700.0,2021.0,6.0,19.0,5.0,1.0,1.0,1.0,0.0,0.0
1.7158516669783326,8500.0,10900.0,9700.0,2021.0,6.0,21.0,0.0,1.0,1.0,1.0,0.0,0.0
1.0163535671079706,8500.0,10900.0,9700.0,2021.0,6.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0
0.4067508053735589,8800.0,10800.0,9800.0,2021.0,6.0,23.0,2.0,1.0,1.0,1.0,0.0,0.0
0.3243467454156046,8500.0,10900.0,9700.0,2021.0,6.0,24.0,3.0,1.0,1.0,1.0,0.0,0.0
0.6258706920799373,8800.0,10800.0,9800.0,2021.0,6.0,25.0,4.0,1.0,1.0,1.0,0.0,0.0
2.018312023414915,9000.0,10800.0,9900.0,2021.0,6.0,28.0,0.0,1.0,1.0,1.0,0.0,0.0
0.08368943394748814,9000.0,10700.0,9850.0,2021.0,6.0,29.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.33020368538678224,9000.0,10700.0,9850.0,2021.0,6.0,30.0,2.0,1.0,1.0,1.0,0.0,0.0
0.329028794276852,9000.0,10700.0,9850.0,2021.0,7.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0
0.26441651999163784,8800.0,10600.0,9700.0,2021.0,7.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0
-0.19816990749960547,8800.0,10600.0,9700.0,2021.0,7.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0
0.47604512852002046,8800.0,10600.0,9700.0,2021.0,7.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
1.6521758024653679,8800.0,10600.0,9700.0,2021.0,7.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.21970733226134354,8800.0,10600.0,9700.0,2021.0,7.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0
0.20823193365666903,8800.0,10700.0,9750.0,2021.0,7.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0
0.20635911411217006,8800.0,10700.0,9750.0,2021.0,7.0,9.0,4.0,1.0,1.0,1.0,0.0,0.0
0.9657874394064987,8600.0,10600.0,9600.0,2021.0,7.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0
0.9077300335270309,8500.0,10200.0,9350.0,2021.0,7.0,14.0,2.0,1.0,1.0,1.0,0.0,0.0
0.30000009133711814,8500.0,10200.0,9350.0,2021.0,7.0,15.0,3.0,1.0,1.0,1.0,0.0,0.0
0.24100627568540084,8500.0,10200.0,9350.0,2021.0,7.0,16.0,4.0,1.0,1.0,1.0,0.0,0.0
0.42173336172955056,8500.0,10200.0,9350.0,2021.0,7.0,17.0,5.0,1.0,1.0,1.0,0.0,0.0
1.0772202023041868,8600.0,10800.0,9700.0,2021.0,7.0,19.0,0.0,1.0,1.0,1.0,0.0,0.0
0.8168982856188313,8500.0,10000.0,9250.0,2021.0,7.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0
0.4863456360147647,8800.0,10600.0,9700.0,2021.0,7.0,22.0,3.0,1.0,1.0,1.0,0.0,0.0
0.732621406116378,8800.0,10600.0,9700.0,2021.0,7.0,23.0,4.0,1.0,1.0,1.0,0.0,0.0
3.2206621709832475,8500.0,10700.0,9600.0,2021.0,7.0,26.0,0.0,1.0,1.0,1.0,0.0,0.0
1.9153069484674718,8500.0,10700.0,9600.0,2021.0,7.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0
0.63898042889143,8800.0,10600.0,9700.0,2021.0,7.0,28.0,2.0,1.0,1.0,1.0,0.0,0.0
0.03405971601826567,8400.0,10000.0,9200.0,2021.0,7.0,29.0,3.0,1.0,1.0,1.0,0.0,0.0
0.6708183611479124,8800.0,10600.0,9700.0,2021.0,7.0,30.0,4.0,1.0,1.0,1.0,0.0,0.0
1.8010649562530352,8600.0,10000.0,9300.0,2021.0,7.0,31.0,5.0,1.0,1.0,1.0,0.0,0.0
2.605440950615339,8600.0,10000.0,9300.0,2021.0,8.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
3.4950302342523454,8500.0,10500.0,9500.0,2021.0,8.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0
3.124211964441551,8000.0,10000.0,9000.0,2021.0,8.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0
0.4929005044205111,8800.0,10800.0,9800.0,2021.0,8.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0
0.5378481734884861,8500.0,10000.0,9250.0,2021.0,8.0,6.0,4.0,1.0,1.0,1.0,0.0,0.0
1.9864740911584324,8500.0,10000.0,9250.0,2021.0,8.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0
0.7794418947288521,8800.0,10600.0,9700.0,2021.0,8.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0
0.06964328736374592,8800.0,10600.0,9700.0,2021.0,8.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0
0.8281352028858251,8800.0,10600.0,9700.0,2021.0,8.0,11.0,2.0,1.0,1.0,1.0,0.0,0.0
1.962127437079946,8800.0,10600.0,9700.0,2021.0,8.0,12.0,3.0,1.0,1.0,1.0,0.0,0.0
0.7775690751843531,8800.0,10600.0,9700.0,2021.0,8.0,13.0,4.0,1.0,1.0,1.0,0.0,0.0
1.9321623243679624,8400.0,10800.0,9600.0,2021.0,8.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0
1.8759777380329936,8400.0,10800.0,9600.0,2021.0,8.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0
0.9479956537337586,8400.0,10800.0,9600.0,2021.0,8.0,18.0,2.0,1.0,1.0,1.0,0.0,0.0
1.048191499364453,8400.0,10800.0,9600.0,2021.0,8.0,19.0,3.0,1.0,1.0,1.0,0.0,0.0
2.040785857948902,8400.0,10800.0,9600.0,2021.0,8.0,21.0,5.0,1.0,1.0,1.0,0.0,0.0
1.7345798624233222,8400.0,10800.0,9600.0,2021.0,8.0,23.0,0.0,1.0,1.0,1.0,0.0,0.0
1.6783952760883534,8800.0,10600.0,9700.0,2021.0,8.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0
0.6371076093469311,8800.0,10600.0,9700.0,2021.0,8.0,25.0,2.0,1.0,1.0,1.0,0.0,0.0
-0.3920067303552479,8800.0,10600.0,9700.0,2021.0,8.0,26.0,3.0,1.0,1.0,1.0,0.0,0.0
2.599822491981842,8600.0,10800.0,9700.0,2021.0,8.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.019315640999954715,8800.0,10800.0,9800.0,2021.0,9.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
0.7972336804015923,8800.0,10800.0,9800.0,2021.0,9.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0
0.1089724977982241,8800.0,10800.0,9800.0,2021.0,9.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0
0.31872828678210774,8800.0,10800.0,9800.0,2021.0,9.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0
0.7925516315403448,9000.0,10500.0,9750.0,2021.0,9.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0
0.6801824588704072,9000.0,10500.0,9750.0,2021.0,9.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0
0.19886783593417423,9000.0,10500.0,9750.0,2021.0,9.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0
2.8826182432011853,8500.0,10500.0,9500.0,2021.0,9.0,13.0,0.0,1.0,1.0,1.0,0.0,0.0
0.18294886980593306,8500.0,10500.0,9500.0,2021.0,9.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.10827456936365536,8800.0,10800.0,9800.0,2021.0,9.0,15.0,2.0,1.0,1.0,1.0,0.0,0.0
-0.24218116679533105,8800.0,10800.0,9800.0,2021.0,9.0,16.0,3.0,1.0,1.0,1.0,0.0,0.0
-0.23468988861733522,8800.0,10800.0,9800.0,2021.0,9.0,17.0,4.0,1.0,1.0,1.0,0.0,0.0
0.12208223460971683,8500.0,10000.0,9250.0,2021.0,9.0,18.0,5.0,1.0,1.0,1.0,0.0,0.0
3.0567904608395886,9000.0,10000.0,9500.0,2021.0,9.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0
0.3383928919993468,9000.0,10000.0,9500.0,2021.0,9.0,22.0,2.0,1.0,1.0,1.0,0.0,0.0
-0.2824467870020587,9000.0,10000.0,9500.0,2021.0,9.0,23.0,3.0,1.0,1.0,1.0,0.0,0.0
0.27846266657538005,9000.0,10000.0,9500.0,2021.0,9.0,24.0,4.0,1.0,1.0,1.0,0.0,0.0
0.757904469967114,9000.0,10000.0,9500.0,2021.0,9.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0
1.1128037736496672,9000.0,10000.0,9500.0,2021.0,9.0,28.0,1.0,1.0,1.0,1.0,0.0,0.0
-0.07643663710717302,9000.0,10000.0,9500.0,2021.0,9.0,29.0,2.0,1.0,1.0,1.0,0.0,0.0
-0.4744107903132022,9000.0,10000.0,9500.0,2021.0,9.0,30.0,3.0,1.0,1.0,1.0,0.0,0.0
0.021886388979022422,9000.0,10000.0,9500.0,2021.0,10.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0
1.7898280389860415,9000.0,10000.0,9500.0,2021.0,10.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0
1.3431605776230393,9000.0,10000.0,9500.0,2021.0,10.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0
1.6615399001878626,8800.0,11000.0,9900.0,2021.0,10.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0
-0.16071351660962627,8800.0,11000.0,9900.0,2021.0,10.0,8.0,4.0,1.0,1.0,1.0,0.0,0.0
3.160731945559281,8800.0,11000.0,9900.0,2021.0,10.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0
1.644684524287372,8200.0,11000.0,9600.0,2021.0,10.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0
0.5247384366769934,8200.0,11000.0,9600.0,2021.0,10.0,13.0,2.0,1.0,1.0,1.0,0.0,0.0
3.1560498966980335,8200.0,11000.0,9600.0,2021.0,10.0,16.0,5.0,1.0,1.0,1.0,0.0,0.0
0.5884143011899581,8200.0,11000.0,9600.0,2021.0,10.0,18.0,0.0,1.0,1.0,1.0,0.0,0.0
3.17946014100427,8800.0,10800.0,9800.0,2021.0,10.0,21.0,3.0,1.0,1.0,1.0,0.0,0.0
-0.09610124232441211,8800.0,10800.0,9800.0,2021.0,10.0,22.0,4.0,1.0,1.0,1.0,0.0,0.0
1.859122362132503,8800.0,10800.0,9800.0,2021.0,10.0,26.0,1.0,1.0,1.0,1.0,0.0,0.0
0.24194268545765032,8800.0,10800.0,9800.0,2021.0,10.0,27.0,2.0,1.0,1.0,1.0,0.0,0.0
0.03967817465176255,8800.0,10800.0,9800.0,2021.0,10.0,28.0,3.0,1.0,1.0,1.0,0.0,0.0
0.2681621590806358,8500.0,10000.0,9250.0,2021.0,10.0,29.0,4.0,1.0,1.0,1.0,0.0,0.0
2.258032925110782,8500.0,10000.0,9250.0,2021.0,10.0,30.0,5.0,1.0,1.0,1.0,0.0,0.0
1.8029377757975342,8500.0,10000.0,9250.0,2021.0,11.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
1.6643491295046111,8500.0,10000.0,9250.0,2021.0,11.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0
0.5041374216875049,8500.0,10000.0,9250.0,2021.0,11.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0
0.71108398135464,8500.0,10000.0,9250.0,2021.0,11.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0
0.6333619702579332,8500.0,10000.0,9250.0,2021.0,11.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0
0.01533152057327606,8500.0,10000.0,9250.0,2021.0,11.0,10.0,2.0,1.0,1.0,1.0,0.0,0.0
-0.08673714460191731,8500.0,10000.0,9250.0,2021.0,11.0,11.0,3.0,1.0,1.0,1.0,0.0,0.0
1.4115184909972514,8500.0,10000.0,9250.0,2021.0,11.0,12.0,4.0,1.0,1.0,1.0,0.0,0.0
3.6176999144170274,8500.0,10000.0,9250.0,2021.0,11.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0
1.0978212172936754,8500.0,10000.0,9250.0,2021.0,11.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0
1.4648938480154718,7500.0,10600.0,9050.0,2021.0,11.0,17.0,2.0,1.0,1.0,1.0,0.0,0.0
-0.11202020845265327,7500.0,10600.0,9050.0,2021.0,11.0,18.0,3.0,1.0,1.0,1.0,0.0,0.0
1.6961870617610935,7500.0,10600.0,9050.0,2021.0,11.0,19.0,4.0,1.0,1.0,1.0,0.0,0.0
1.0425730407309561,7500.0,10600.0,9050.0,2021.0,11.0,20.0,5.0,1.0,1.0,1.0,0.0,0.0
